mcscore,scscore,processor,frequency,maximumfrequency,cores,threads,tdp,gpu,codename,package
5919,1037,AMD Ryzen 7 4800U,1800 MHz,4200 MHz,8,16,15 W,AMD Radeon Vega 8,Renoir,Socket FP5
5917,1079,Intel Xeon E-2136,3300 MHz,4500 MHz,6,12,80 W,,Coffee Lake,Socket 1151 LGA
5861,703,Intel Xeon E5-2630 v4,2200 MHz,3100 MHz,10,20,85 W,,Broadwell-E/EP,Socket 2011 LGA
5847,599,Intel Xeon E5-4657L v2,2400 MHz,2900 MHz,12,24,115 W,,Ivy Bridge EP,FCLGA2011
5801,1154,Intel Core i7-8700,3200 MHz,4600 MHz,6,12,65 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
5791,957,Intel Xeon W-2133,3600 MHz,3900 MHz,6,12,140 W,,Skylake,FCLGA2066
5770,977,Intel Core i7-6850K,3600 MHz,3800 MHz,6,12,140 W,,Broadwell E,FCLGA2011-3
5758,1168,Intel Core i7-8700B,3200 MHz,4600 MHz,6,12,65 W,,Coffee Lake,FCBGA1440
5745,652,Intel Xeon Silver 4114,2200 MHz,3000 MHz,10,20,85 W,,Skylake,FCLGA3647
5736,632,Intel Xeon E5-2670 v2,2500 MHz,3300 MHz,10,20,115 W,,Ivy Bridge EP,FCLGA2011
5726,1107,Intel Core i5-10400F,2900 MHz,4300 MHz,6,12,65 W,,Comet Lake,Socket 1200 LGA
5713,794,Intel Xeon E5-2640 v3,2600 MHz,3400 MHz,8,16,90 W,,"Haswell-E/EP, Sandy Bridge-EP/EX",Socket 2011 LGA
5712,1172,Intel Core i5-10500,3100 MHz,4500 MHz,6,12,65 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
5711,1276,AMD Ryzen 7 PRO 5850U,1900 MHz,4400 MHz,8,16,15 W,AMD Radeon RX Vega 8,Cezanne,Socket FP6
5698,1012,Intel Xeon E-2146G,3500 MHz,4500 MHz,6,12,80 W,Intel UHD Graphics P630,Coffee Lake,Socket 1151 LGA
5659,841,AMD Ryzen 7 1700,3000 MHz,3700 MHz,8,16,65 W,,Summit Ridge,AM4
5626,1323,Intel Core i5-11400H,2700 MHz,4500 MHz,6,12,45 W,Intel UHD Graphics,Tiger Lake,Socket 1787 FCBGA
5619,1242,Intel Core i5-9600KF,3700 MHz,4600 MHz,6,6,95 W,,Coffee Lake,FCLGA1151
5608,921,Intel Xeon E5-1650 v4,3600 MHz,4000 MHz,6,12,140 W,,Broadwell-E/EP,Socket 2011 LGA
5608,1033,AMD Ryzen 5 2600X,3600 MHz,4200 MHz,6,12,95 W,,Pinnacle Ridge,AM4
5605,931,Intel Core i7-5930K,3500 MHz,3700 MHz,6,12,140 W,,Haswell E,LGA2011-v3
5583,626,AMD EPYC 7401P,2000 MHz,3000 MHz,24,48,170 W,,Naples,Socket SP3 (4094)
5561,1105,Intel Core i5-10400,2900 MHz,4300 MHz,6,12,65 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
5540,1233,Intel Core i5-9600K,3700 MHz,4600 MHz,6,6,95 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
5495,921,Intel Core i7-6800K,3400 MHz,3600 MHz,6,12,140 W,,Broadwell-E,FCLGA2011-3
5472,850,AMD Ryzen 7 PRO 1700,3000 MHz,3700 MHz,8,16,65 W,,Summit Ridge,Socket AM4 (1331)
5469,1238,AMD Ryzen 5 5600H,3300 MHz,4200 MHz,6,12,45 W,AMD Radeon RX Vega 7,Cezanne,Socket FP6
5468,1027,AMD Ryzen 7 5700U,1800 MHz,4300 MHz,8,16,15 W,AMD Radeon RX Vega 8,Cezanne,Socket FP6
5456,1208,Intel Core i5-8600K,3600 MHz,4300 MHz,6,6,95 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
5418,907,Intel Core i7-5820K,3300 MHz,3600 MHz,6,12,140 W,,Haswell E,Socket 2011 LGA
5411,1134,Intel Core i7-10750H,2600 MHz,5000 MHz,6,12,45 W,Intel UHD Graphics,Comet Lake,Socket 1440 FCBGA
5381,1021,AMD Ryzen 7 PRO 4750U,1700 MHz,4100 MHz,8,16,15 W,,Renoir,Socket FP5
5362,1255,Intel Core i5-11260H,2600 MHz,4400 MHz,6,12,,Intel UHD Graphics,Tiger Lake,Socket 1787 FCBGA
5340,1151,Intel Core i7-10850H,2700 MHz,5100 MHz,6,12,45 W,Intel UHD Graphics,Comet Lake,Socket 1440 FCBGA
5316,899,Intel Xeon E5-1650 v3,3500 MHz,3800 MHz,6,12,140 W,,Haswell,Socket 2011 LGA
5293,1212,AMD Ryzen 5 5600U,2300 MHz,4200 MHz,6,12,15 W,AMD Radeon RX Vega 7,Cezanne,Socket FP6
5254,510,Intel Xeon E5-2470 v2,2400 MHz,3200 MHz,10,20,95 W,,Ivy Bridge EN,FCLGA1356
5241,966,AMD Ryzen 5 2600,3400 MHz,3900 MHz,6,12,65 W,,Pinnacle Ridge,AM4
5221,677,Intel Xeon E5-2690,2900 MHz,3800 MHz,8,16,135 W,,Sandy Bridge-EP,Socket 2011 LGA
5187,710,Intel Xeon E5-2687W,3100 MHz,3800 MHz,8,16,150 W,,Sandy Bridge-EP,Socket 2011 LGA
5163,1174,AMD Ryzen 5 3500X,3600 MHz,4100 MHz,6,6,65 W,,Matisse,Socket AM4 (1331)
5155,690,Intel Xeon E5-2686 v4,2300 MHz,2700 MHz,8,16,145 W,,Broadwell-E/EP,Socket 2011 LGA
5142,1053,Intel Core i7-9700T,2000 MHz,4300 MHz,8,8,35 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
5140,944,AMD Ryzen 5 1600X,3600 MHz,4000 MHz,6,12,95 W,,Summit Ridge,Socket AM4 (1331)
5133,1113,Intel Xeon E-2276M,2800 MHz,4700 MHz,6,12,45 W,Intel UHD Graphics P630,Coffee Lake,Socket 1440 FCBGA
5129,1265,AMD Ryzen 3 3300X,3800 MHz,4300 MHz,4,8,65 W,,Matisse,Socket AM4 (1331)
5084,688,Intel Xeon Silver 4110,2100 MHz,3000 MHz,8,16,85 W,,Skylake,FCLGA3647
5074,1200,Intel Core i5-9600,3100 MHz,4600 MHz,6,6,65 W, Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
5016,711,Intel Xeon E5-2630 v3,2400 MHz,3200 MHz,8,16,85 W,,Haswell,Socket 2011 LGA
4967,972,AMD Ryzen 5 4600HS,3000 MHz,4000 MHz,6,12,35 W,Radeon Vega 6,Renoir,Socket FP5
4952,829,Intel Core i7-4960X,3600 MHz,4000 MHz,6,12,130 W,,Ivy Bridge E,FCLGA2011
4916,988,AMD Ryzen 5 4600H,3000 MHz,4000 MHz,6,12,45 W,AMD Radeon Vega 6,Renoir,Socket FP5
4911,1081,Intel Core i7-9850H,2600 MHz,4600 MHz,6,12,45 W,Intel UHD Graphics 630,Coffee Lake,Socket 1440 FCBGA
4907,898,AMD Ryzen 5 1600,3200 MHz,3600 MHz,6,12,65 W,,Summit Ridge,Socket AM4 (1331)
4896,1395,Intel Core i5-11320H,3200 MHz,4500 MHz,4,8,,Intel Iris Xe Graphics,Tiger Lake,Socket 1449 FCBGA
4892,1416,Intel Core i7-11375H,3300 MHz,5000 MHz,4,8,35 W,Intel Iris Xe Graphics,Tiger Lake,Socket 1449 FCBGA
4886,1273,Intel Core i7-7740X,4300 MHz,4500 MHz,4,8,112 W,,Kaby Lake,FCLGA2066
4870,1043,Intel Core i7-9750H,2600 MHz,4500 MHz,6,12,45 W, Intel UHD Graphics 630,Coffee Lake,Socket 1440 FCBGA
4869,958,AMD Ryzen 5 4600U,2100 MHz,4000 MHz,6,12,15 W,AMD Radeon Vega 6,Renoir,Socket FP5
4858,544,Intel Xeon E5-2660 v2,2200 MHz,3000 MHz,10,20,95 W,,Ivy Bridge EP,FCLGA2011
4847,1389,Intel Core i7-11370H,3300 MHz,4800 MHz,4,8,,Intel Iris Xe Graphics,Tiger Lake,FCBGA1449
4842,1397,Intel Core i7-1185G7,3000 MHz,4800 MHz,4,8,,Intel Iris Xe Graphics,Tiger Lake,FCBGA1449
4838,1112,Intel Core i5-8600,3100 MHz,4300 MHz,6,6,65 W,Intel UHD Graphics 630,Coffee Lake,FCLGA1151
4837,797,Intel Core i7-4930K,3400 MHz,3900 MHz,6,12,130 W,,Ivy Bridge E,FCLGA2011
4836,610,Intel Xeon E5-2650 v2,2600 MHz,3400 MHz,8,16,95 W,,Ivy Bridge EP,FCLGA2011
4830,1133,AMD Ryzen 5 3500,3600 MHz,4100 MHz,6,6,65 W,,Matisse,Socket AM4 (1331)
4828,1031,Intel Core i7-8700T,2400 MHz,4000 MHz,6,12,35 W, Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
4827,1449,Intel Core i7-1195G7,2900 MHz,5000 MHz,4,8,, Intel Iris Xe Graphics,Tiger Lake,"Socket 1449 FCBGA, Socket 1787 FCBGA"
4804,1067,Intel Core i9-8950HK,2900 MHz,,6,12,,,Coffee Lake,FCBGA1440
4798,800,Intel Xeon E5-1650 v2,3500 MHz,3900 MHz,6,12,130 W,,Ivy Bridge,FCLGA2011
4783,639,Intel Xeon E5-2680,2700 MHz,3500 MHz,8,16,130 W,,Sandy Bridge-EP,Socket 2011 LGA
4738,630,AMD EPYC 7351P,2400 MHz,2900 MHz,16,32,170 W,,Naples,Socket SP3 (4094)
4721,1132,AMD Ryzen 3 3100,3600 MHz,3900 MHz,4,8,65 W,,Matisse,Socket AM4 (1331)
4720,785,Intel Core i7-3970X,3500 MHz,4000 MHz,6,12,150 W,,Sandy Bridge E,FCLGA2011
4713,801,Intel Xeon E5-1660 v2,3700 MHz,4000 MHz,6,12,130 W,,Ivy Bridge EP,FCLGA2011
4708,1059,Intel Core i5-8500B,3000 MHz,4100 MHz,6,6,65 W, Intel UHD Graphics 630,Coffee Lake,Socket 1440 FCBGA
4692,639,Intel Xeon E5-2620 v4,2100 MHz,3000 MHz,8,16,85 W,,"Broadwell-E/EP, Haswell-E/EP","Socket 2011 LGA, Socket 775 LGA"
4685,615,Intel Xeon E5-2670,2600 MHz,3300 MHz,8,16,115 W,,Sandy Bridge-EP/EX,Socket 2011 LGA
4684,1215,Intel Core i3-10320,3800 MHz,4600 MHz,4,8,65 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
4682,968,AMD Ryzen 7 4700U,2000 MHz,4100 MHz,8,8,15 W,AMD Radeon Vega 7,Renoir,Socket FP6
4677,1174,Intel Core i5-11500T,1500 MHz,3900 MHz,6,12,35 W,Intel UHD Graphics 750,Rocket Lake,Socket 1200 LGA
4659,585,Intel Xeon E5-2450 v2,2500 MHz,3300 MHz,8,16,95 W,,Ivy Bridge EN,FCLGA1356
4658,1210,Intel Core i7-7700K,4200 MHz,4500 MHz,4,8,91 W,Intel HD Graphics 630,Kaby Lake,FCLGA1151
4655,680,Intel Xeon E5-2630L v3,1800 MHz,2900 MHz,8,16,55 W,,Haswell,FCLGA2011-3
4653,804,Intel Core i7-3960X,3300 MHz,3900 MHz,6,12,130 W,,Sandy Bridge E,FCLGA2011
4625,506,Intel Xeon E5-2658 v2,2400 MHz,3000 MHz,10,20,95 W,,Ivy Bridge EP,FCLGA2011
4618,586,Intel Xeon D-1541,2100 MHz,2700 MHz,8,16,45 W,,Broadwell,FCBGA1667
4612,1114,Intel Core i5-9500,3000 MHz,4400 MHz,6,6,65 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
4605,407,Intel Xeon E5-2651 v2,1800 MHz,,12,24,,,Ivey Bridge EP,FCLGA2011
4590,1061,Intel Core i5-8500,3000 MHz,4100 MHz,6,6,65 W,Intel UHD Graphics 630,Coffee Lake,FCLGA1151
4576,1057,Intel Core i5-9400F,2900 MHz,4100 MHz,6,6,65 W,,Coffee Lake,Socket 1151 LGA
4563,845,AMD Ryzen 5 1600 PRO,3200 MHz,3600 MHz,6,12,65 W,,Summit Ridge,AM4
4542,771,Intel Core i7-3930K,3200 MHz,3800 MHz,6,12,130 W,,Sandy Bridge E,FCLGA2011
4534,765,Intel Xeon E5-1660,3300 MHz,3900 MHz,6,12,130 W,,Sandy Bridge-EP,Socket 2011 LGA
4534,1025,Intel Xeon E-2176M,2700 MHz,4400 MHz,6,12,45 W,Intel UHD Graphics P630,Coffee Lake,FCBGA1440
4515,1046,Intel Core i5-9400,2900 MHz,4100 MHz,6,6,65 W, Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
4511,1034,Intel Core i5-8400,2800 MHz,4000 MHz,6,6,65 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
4503,1008,Intel Core i7-8850H,2600 MHz,,6,12,,,Coffee Lake,FCBGA1440
4488,1228,Intel Core i7-1068NG7,2300 MHz,4100 MHz,4,8,28 W,Intel Iris Plus Graphics,Ice Lake,FCBGA1344
4468,1371,Intel Core i7-1165G7,2800 MHz,4700 MHz,4,8,,Intel Iris Xe Graphics,Tiger Lake,FCBGA1449
4465,1166,Intel Core i3-10300,3700 MHz,4400 MHz,4,8,65 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
4458,693,Intel Xeon E5-2643 v2,3500 MHz,3800 MHz,6,12,130 W,,Ivy Bridge EP,FCLGA2011
4457,975,Intel Core i7-8750H,2200 MHz,,6,12,,,Coffee Lake,FCBGA1440
4447,1287,Intel Core i5-11300H,3100 MHz,4400 MHz,4,8,,Intel Iris Xe Graphics,Tiger Lake, FCBGA1449
4433,738,Intel Xeon E5-1650,3200 MHz,3800 MHz,6,12,130 W,,Sandy Bridge-EP,Socket 2011 LGA
4433,1136,Intel Core i7-6700K,4000 MHz,4200 MHz,4,8,91 W,Intel HD Graphics 530,Skylake,FCLGA1151
4413,1019,Intel Xeon W-2125,4000 MHz,4500 MHz,4,8,120 W,,Skylake,FCLGA2066
4402,1303,Intel Core i5-1145G7,2600 MHz,4400 MHz,4,8,28 W,Intel Iris Xe Graphics,Tiger Lake-U,Socket 1449 FCBGA
4399,952,AMD Ryzen 5 PRO 4650U,2100 MHz,4000 MHz,6,12,15 W,Radeon Vega 6,Renoir,Socket FP5
4384,942,AMD Ryzen 5 5500U,2100 MHz,4000 MHz,6,12,15 W,AMD Radeon RX Vega 7,Cezanne,Socket FP6
4383,589,Intel Xeon E5-2665,2400 MHz,3100 MHz,8,16,115 W,,Sandy Bridge-EP,Socket 2011 LGA
4302,631,Intel Xeon Silver 4108,1800 MHz,3000 MHz,8,16,85 W,,Skylake,FCLGA3647
4229,1125,Intel Core i5-1038NG7,2000 MHz,3800 MHz,4,8,28 W,Intel Iris Plus Graphics,Ice Lake,FCBGA1344
4174,1242,Intel Core i5-1135G7,2400 MHz,4200 MHz,4,8,,Intel Iris Xe Graphics,Tiger Lake-U,FCBGA1449
4155,1401,Intel Core i7-1185G7E,2800 MHz,4400 MHz,4,8,15 W,Intel Iris Xe Graphics,Tiger Lake,FCBGA1449
4101,1046,Intel Xeon E3-1245 v6,3700 MHz,4100 MHz,4,8,73 W,Intel HD Graphics P630,Kaby Lake,Socket 1151 LGA
4099,1000,Intel Xeon E3-1280 v6,3900 MHz,4200 MHz,4,8,72 W,,Kaby Lake,Socket 1151 LGA
4092,1261,Intel Core i3-9350KF,4000 MHz,4600 MHz,4,4,91 W,,Coffee Lake,Socket 1151 LGA
4091,1054,Intel Xeon E3-1270 v6,3800 MHz,4200 MHz,4,8,72 W,,Kaby Lake,Socket 1151 LGA
4084,1096,Intel Core i3-10100F,3600 MHz,4300 MHz,4,8,65 W,,Comet Lake,Socket 1200 LGA
4060,1106,Intel Core i7-8569U,2800 MHz,4700 MHz,4,8,28 W,Intel Iris Plus Graphics 655,Coffee Lake,Socket 1528 FCBGA
4040,1021,Intel Core i7-5775C,3300 MHz,3700 MHz,4,8,65 W,Intel Iris Pro Graphics 6200,Broadwell,FCLGA1150
4035,515,Intel Xeon E5-2650,2000 MHz,2800 MHz,8,16,95 W,,Sandy Bridge-EP,Socket 2011 LGA
4027,539,Intel Xeon E5-2660,2200 MHz,3000 MHz,8,16,95 W,,Sandy Bridge-EP,Socket 2011 LGA
4021,1035,Intel Xeon E3-1240 v6,3700 MHz,4100 MHz,4,8,72 W,,Kaby Lake,Socket 1151 LGA
4017,939,Intel Core i5-9500T,2200 MHz,3700 MHz,6,6,35 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
3997,1071,Intel Core i7-8559U,2700 MHz,,4,8,,,Coffee Lake,FCBGA1528
3978,1094,Intel Core i3-10100,3600 MHz,4300 MHz,4,8,95 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
3975,1042,Intel Core i7-8809G,3100 MHz,4200 MHz,4,8,,Intel HD Graphics 630,Kaby Lake G,BGA2270
3972,1043,Intel Core i7-7700,3600 MHz,4200 MHz,4,8,65 W,Intel HD Graphics 630,Kaby Lake,Socket 1151 LGA
3967,1054,Intel Xeon E3-1275 v6,3800 MHz,4200 MHz,4,8,73 W,Intel HD Graphics P630,Kaby Lake,Socket 1151 LGA
3946,1059,Intel Core i7-4790K,4000 MHz,4400 MHz,4,8,88 W,Intel HD Graphics 4600,Haswell,Socket 1150 LGA
3941,718,Intel Xeon E5-2620 v3,2400 MHz,3200 MHz,6,12,85 W,,Haswell-E,Socket 2011 LGA
3923,935,Intel Xeon W-2123 ,3600 MHz,3900 MHz,4,8,120 W,,Skylake,FCLGA2066
3899,451,Intel Xeon E5-2640 v2,2000 MHz,2500 MHz,8,16,95 W,,Ivy Bridge EP,FCLGA2011
3894,998,Intel Xeon E3-1285L v4,3400 MHz,3800 MHz,4,8,65 W,,Broadwell,FCLGA1150
3876,1175,Intel Core i3-8350K,4000 MHz,,4,4,91 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
3870,1177,Intel Core i5-7640X,4000 MHz,4200 MHz,4,4,112 W,,Kaby Lake,FCLGA2066
3867,976,Intel Xeon E3-1240 v5,3500 MHz,3900 MHz,4,8,80 W,,Skylake,Socket 1151 LGA
3851,911,Intel Xeon E5-1630 v4,3700 MHz,4000 MHz,4,8,140 W,,Broadwell,FCLGA2011-3
3846,883,Intel Core i5-8500T,2100 MHz,3500 MHz,6,6,35 W, Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
3822,983,Intel Core i7-7820HK,2900 MHz,3900 MHz,4,8,45 W,Intel HD Graphics 630,Kaby Lake,Socket 1440 FCBGA
3807,974,Intel Xeon E3-1275 v5,3600 MHz,4000 MHz,4,8,80 W,Intel HD Graphics P530,Skylake,Socket 1151 LGA
3799,1022,Intel Xeon E3-1535M v6,3100 MHz,4200 MHz,4,8,45 W,Intel HD Graphics P630,Kaby Lake,Socket 1440 FCBGA
3796,858,Intel Xeon E5-2637 v3,3500 MHz,3700 MHz,4,8,135 W,,Haswell,FCLGA2011-3
3793,914,Intel Core i7-5775R,3300 MHz,3800 MHz,4,8,65 W,Intel Iris Pro Graphics 6200,Broadwell,FCBGA1364
3785,1158,Intel Core i5-7600K,3800 MHz,4200 MHz,4,4,91 W,Intel HD Graphics 630,Kaby Lake,FCLGA1151
3746,973,Intel Core i7-6700,3400 MHz,4000 MHz,4,8,65 W,Intel HD Graphics 530,Skylake,FCLGA1151
3740,1061,Intel Core i5-10300H,2500 MHz,4500 MHz,4,8,45 W,Intel UHD Graphics,Comet Lake,Socket 1440 FCBGA
3739,933,Intel Xeon E3-1270 v5,3600 MHz,4000 MHz,4,8,80 W,,Skylake,Socket 1151 LGA
3735,945,Intel Core i5-8259U,2300 MHz,,4,8,,,Coffee Lake,
3718,676,Intel Core i7-990X,3470 MHz,3730 MHz,6,12,130 W,,Gulftown,FCLGA1366
3717,927,Intel Xeon E3-1230 v6,3500 MHz,3900 MHz,4,8,72 W,,Kaby Lake,Socket 1151 LGA
3714,930,Intel Xeon E3-1245 v5,3500 MHz,3900 MHz,4,8,80 W,Intel HD Graphics P530,Skylake,Socket 1151 LGA
3714,952,Intel Core i5-8257U,1400 MHz,3900 MHz,4,8,15 W, Intel Iris Plus Graphics 645,Coffee Lake,Socket 1528 FCBGA
3698,930,Intel Xeon E3-1280 v5,3700 MHz,4000 MHz,4,8,80 W,,Skylake,FCLGA11141
3698,704,Intel Xeon E5-2637 v4,3500 MHz,3700 MHz,4,8,135 W,,Broadwell, FCLGA2011-3
3691,843,Intel Core i5-8400T,1700 MHz,3300 MHz,6,6,35 W,Intel UHD Graphics 630,Coffee Lake,Socket 1151 LGA
3676,980,Intel Xeon E3-1585L v5,3000 MHz,,4,8,,,Skylake,Socket 1440 FCBGA
3674,970,Intel Core i7-4770K,3500 MHz,3900 MHz,4,8,84 W,Intel HD Graphics 4600,Haswell,FCLGA1150
3673,587,Intel Xeon E5-2630 v2,2600 MHz,3100 MHz,6,12,80 W,,Ivy Bridge EP,FCLGA2011
3671,872,Intel Xeon E5-1630 v3,3700 MHz,3800 MHz,4,8,140 W,,Haswell,FCLGA2011-3
3661,923,Intel Xeon E3-1230 v5,3400 MHz,3800 MHz,4,8,80 W,,Skylake,Socket 1151 LGA
3660,632,Intel Xeon E5-2667,2900 MHz,3500 MHz,6,12,130 W,,Sandy Bridge-EP,"Socket 1366 LGA, Socket 2011 LGA"
3660,959,Intel Core i7-7920HQ,3100 MHz,4100 MHz,4,8,45 W,Intel HD Graphics 630,Kaby Lake,Socket 1440 FCBGA
3655,875,Intel Xeon E5-1620 v4,3500 MHz,3800 MHz,4,8,140 W,,Broadwell-E/EP,Socket 2011 LGA
3654,1117,Intel Core i3-1125G4,2000 MHz,3700 MHz,4,8,28 W,Intel UHD Graphics,Tiger Lake,Socket 1449 FCBGA
3643,994,Intel Core i5-8279U,2400 MHz,4100 MHz,4,8,28 W,Intel Iris Plus Graphics 655,Coffee Lake, FCBGA1528
3632,966,AMD Ryzen 5 2500X,3600 MHz,4000 MHz,4,8,65 W,,Pinnacle Ridge,Socket AM4 (1331)
3615,968,Intel Xeon E3-1271 v3,3600 MHz,4000 MHz,4,8,80 W,,"Haswell, Haswell-WS",Socket 1150 LGA
3603,637,Intel Xeon X5690,3470 MHz,3730 MHz,6,12,130 W,,Westmere-EP,Socket 1366 LGA
3595,1093,Intel Core i5-6600K,3500 MHz,3900 MHz,4,4,91 W,Intel HD Graphics 530,Skylake,FCLGA1151
3593,970,Intel Xeon E3-1275 v3,3500 MHz,3900 MHz,4,8,84 W,,Haswell,Socket 1150 LGA
3591,654,Intel Xeon W3690,3470 MHz,3730 MHz,6,12,130 W,,Gulftown,Socket 1366 LGA
3581,896,AMD Ryzen 5 1500X,3500 MHz,3700 MHz,4,8,65 W,,Summit Ridge,Socket AM4 (1331)
3580,960,Intel Core i7-8705G,3100 MHz,4100 MHz,4,8,65 W,Intel HD Graphics 630,Kaby Lake,BGA2270
3576,1002,Intel Core i5-5675C,3100 MHz,3600 MHz,4,4,65 W,Intel Iris Pro Graphics 6200,Broadwell,Socket 1150 LGA
3575,925,AMD Ryzen 5 3400G,3700 MHz,4200 MHz,4,8,65 W,Radeon RX Vega 11,Picasso,AM4
3570,959,Intel Core i7-7820HQ,2900 MHz,3900 MHz,4,8,45 W,Intel HD Graphics 630,Kaby Lake,Socket 1440 FCBGA
3555,933,Intel Core i7-4960HQ,2600 MHz,3500 MHz,4,8,47 W,Intel Iris Pro Graphics 5200,Crystal Well,FCBGA1364
3528,930,Intel Xeon E3-1246 v3,3500 MHz,3900 MHz,4,8,84 W,,Haswell,Socket 1150 LGA
3526,898,Intel Core i7-6820HK,2700 MHz,3600 MHz,4,8,45 W,Intel HD Graphics 530,Skylake,FCBGA1440
3524,825,Intel Xeon E5-1620 v3,3500 MHz,3600 MHz,4,8,140 W,,Haswell-E/EP,Socket 2011 LGA
3519,878,Intel Xeon E3-1545M v5,2900 MHz,3800 MHz,4,8,45 W,Intel Iris Pro Graphics P580,Skylake,Socket 1440 FCBGA
3506,926,Intel Xeon E3-1241 v3,3500 MHz,3900 MHz,4,8,80 W,,Haswell,Socket 1150 LGA
3497,963,Intel Core i5-9300HF,2400 MHz,4100 MHz,4,8,45 W,,Coffee Lake,Socket 1440 FCBGA
3477,871,Intel Xeon E3-1575M v5,3000 MHz,3900 MHz,4,8,45 W,Intel Iris Pro Graphics P580,Skylake,Socket 1440 FCBGA
3471,645,Intel Core i7-980X,3330 MHz,3600 MHz,6,12,130 W,,Gulftown,FCLGA1366
3467,934,Intel Core i7-4790,3600 MHz,4000 MHz,4,8,84 W,Intel HD Graphics 4600,Haswell,Socket 1150 LGA
3467,745,Intel Xeon E5-2623 v3,3000 MHz,3500 MHz,4,8,105 W,,Haswell-E/EP,Socket 2011 LGA
3465,935,Intel Xeon E3-1281 v3,3700 MHz,4100 MHz,4,8,82 W,,Haswell,FCLGA1150
3462,966,Intel Core i5-8400H,2500 MHz,4200 MHz,4,8,45 W,Intel UHD Graphics 630,Coffee Lake,Socket 1440 FCBGA
3447,911,AMD Ryzen 5 PRO 1500,3500 MHz,3700 MHz,4,8,65 W,,Summit Ridge,Socket AM4 (1331)
3447,964,Intel Xeon E3-1280 v3,3600 MHz,4000 MHz,4,8,82 W,,Haswell,Socket 1150 LGA
3441,727,Intel Xeon Silver 4112,2600 MHz,3000 MHz,4,8,85 W,,Skylake,Socket 3647 LGA
3440,965,Intel Core i7-8557U,1700 MHz,4500 MHz,4,8,15 W, Intel Iris Plus Graphics 645,Coffee Lake,FCBGA1528
3435,944,Intel Core i7-7700T,2900 MHz,3800 MHz,4,8,35 W,Intel HD Graphics 630,Kaby Lake,Socket 1151 LGA
3431,627,Intel Xeon W3680,3330 MHz,3600 MHz,6,12,130 W,,Westmere-EP,Socket 1366 LGA
3411,908,Intel Xeon E3-1270 v3,3500 MHz,3900 MHz,4,8,80 W,,Haswell,Socket 1150 LGA
3398,959,Intel Core i3-10100T,3000 MHz,3800 MHz,4,8,35 W,Intel UHD Graphics 630,Comet Lake,Socket 1200 LGA
3392,934,Intel Xeon E3-1276 v3,3600 MHz,4000 MHz,4,8,84 W,,Haswell,FCLGA1150
3386,869,Intel Core i7-6920HQ,2900 MHz,3800 MHz,4,8,45 W,Intel HD Graphics 530,Skylake,FCBGA1440
3382,902,Intel Xeon E3-1240 v3,3400 MHz,3800 MHz,4,8,80 W,,Haswell,Socket 1150 LGA
3381,916,Intel Core i7-4771,3500 MHz,3900 MHz,4,8,84 W,Intel HD Graphics 4600,Haswell,FCLGA1150
3378,953,Intel Core i7-4910MQ,2900 MHz,3900 MHz,4,8,47 W,Intel HD Graphics 4600,Haswell,Socket 947 rPGA
3377,855,Intel Core i7-6820EQ,2800 MHz,3500 MHz,4,8,45 W,Intel HD Graphics 530,Skylake,FCBGA1440
3373,912,Intel Core i7-4770,3400 MHz,3900 MHz,4,8,84 W,Intel HD Graphics 4600,Haswell,FCLGA1150
3363,615,Intel Xeon X5680,3330 MHz,3600 MHz,6,12,130 W,,Westmere-EP,Socket 1366 LGA
3354,902,Intel Xeon E3-1245 v3,3400 MHz,3800 MHz,4,8,84 W,,Haswell,Socket 1150 LGA
3341,888,Intel Xeon E3-1231 v3,3400 MHz,3800 MHz,4,8,80 W,,Haswell,Socket 1150 LGA
3337,794,Intel Core i7-4820K,3700 MHz,3900 MHz,4,8,130 W,,Ivy Bridge E,FCLGA2011
3334,850,Intel Core i7-3770K,3500 MHz,3900 MHz,4,8,77 W,Intel HD Graphics 4000,Ivy Bridge,FCLGA1155
3325,558,Intel Xeon E5-2640,2500 MHz,3000 MHz,6,12,95 W,,Sandy Bridge-EP,Socket 2011 LGA
3313,908,Intel Core i7-4770R,3200 MHz,3900 MHz,4,8,65 W,Intel Iris Pro Graphics 5200,Crystal Well,FCBGA1364
3312,1030,Intel Core i5-7600,3500 MHz,4100 MHz,4,4,65 W,Intel HD Graphics 630,Kaby Lake,Socket 1151 LGA
