mcscore,scscore,name,modelid,cpu,cpufreq,numcpus,cpucores,cputhreads
1175,588,iMac (21.5-inch Mid 2014),"iMac14,4",Intel Core i5-4260U,1400 MHz,1,2,4
1174,571,MacBook Air (13-inch Early 2014),"MacBookAir6,2",Intel Core i5-4260U,1400 MHz,1,2,4
1145,556,MacBook Air (11-inch Mid 2013),"MacBookAir6,1",Intel Core i5-4250U,1300 MHz,1,2,4
1141,554,MacBook Air (13-inch Mid 2013),"MacBookAir6,2",Intel Core i5-4250U,1300 MHz,1,2,4
1140,598,MacBook (Early 2015),"MacBook8,1",Intel Core M-5Y71,1300 MHz,1,2,4
1130,517,MacBook Air (13-inch Mid 2012),"MacBookAir5,2",Intel Core i5-3427U,1800 MHz,1,2,4
1129,505,Mac mini (Mid 2011),"Macmini5,1",Intel Core i5-2415M,2300 MHz,1,2,4
1110,550,MacBook (Early 2015),"MacBook8,1",Intel Core M-5Y51,1200 MHz,1,2,4
1101,487,MacBook (Early 2016),"MacBook9,1",Intel Core m3-6Y30,1100 MHz,1,2,4
1097,506,MacBook Pro (13-inch Late 2011),"MacBookPro8,1",Intel Core i5-2435M,2400 MHz,1,2,4
1088,496,MacBook Air (11-inch Mid 2012),"MacBookAir5,1",Intel Core i5-3317U,1700 MHz,1,2,4
1057,483,MacBook Pro (13-inch Early 2011),"MacBookPro8,1",Intel Core i5-2415M,2300 MHz,1,2,4
1049,478,iMac (27-inch Mid 2010),"iMac11,3",Intel Core i3-550,3200 MHz,1,2,4
1042,474,iMac (21.5-inch Mid 2010),"iMac11,2",Intel Core i3-550,3200 MHz,1,2,4
1036,499,MacBook Pro (17-inch Early 2010),"MacBookPro6,1",Intel Core i7-640M,2800 MHz,1,2,4
1035,522,MacBook (Early 2015),"MacBook8,1",Intel Core M-5Y31,1100 MHz,1,2,4
1025,493,MacBook Pro (15-inch Early 2010),"MacBookPro6,2",Intel Core i7-640M,2800 MHz,1,2,4
1019,476,MacBook Pro (17-inch Early 2010),"MacBookPro6,1",Intel Core i7-620M,2670 MHz,1,2,4
1010,461,iMac (21.5-inch Mid 2010),"iMac11,2",Intel Core i3-540,3070 MHz,1,2,4
1002,489,MacBook Air (11-inch Mid 2011),"MacBookAir4,1",Intel Core i7-2677M,1800 MHz,1,2,4
965,470,MacBook Air (13-inch Mid 2011),"MacBookAir4,2",Intel Core i7-2677M,1800 MHz,1,2,4
962,452,MacBook Pro (15-inch Early 2010),"MacBookPro6,2",Intel Core i7-620M,2670 MHz,1,2,4
942,451,MacBook Air (13-inch Mid 2011),"MacBookAir4,2",Intel Core i5-2557M,1700 MHz,1,2,4
921,427,MacBook Pro (17-inch Early 2010),"MacBookPro6,1",Intel Core i5-540M,2530 MHz,1,2,4
921,425,MacBook Pro (15-inch Early 2010),"MacBookPro6,2",Intel Core i5-540M,2530 MHz,1,2,4
880,410,MacBook Pro (15-inch Early 2010),"MacBookPro6,2",Intel Core i5-520M,2400 MHz,1,2,4
797,375,MacBook Air (11-inch Mid 2011),"MacBookAir4,1",Intel Core i5-2467M,1601 MHz,1,2,4
795,455,iMac (Late 2009),"iMac10,1",Intel Core 2 Duo E8600,3330 MHz,1,2,2
748,414,iMac (Early 2008),"iMac8,1",Intel Core 2 Duo E8435,3060 MHz,1,2,2
729,418,iMac (Early 2009),"iMac9,1",Intel Core 2 Duo E8435,3060 MHz,1,2,2
719,412,MacBook Pro (17-inch Early 2009),"MacBookPro5,2",Intel Core 2 Duo T9800,2930 MHz,1,2,2
690,397,MacBook Pro (15-inch Mid 2009),"MacBookPro5,3",Intel Core 2 Duo T9900,3060 MHz,1,2,2
671,380,iMac (Late 2009),"iMac10,1",Intel Core 2 Duo E7600,3060 MHz,1,2,2
670,402,MacBook Pro (17-inch Mid 2009),"MacBookPro5,2",Intel Core 2 Duo T9900,3060 MHz,1,2,2
661,386,MacBook Pro (Late 2008),"MacBookPro5,1",Intel Core 2 Duo T9800,2930 MHz,1,2,2
660,379,MacBook Pro (Late 2008),"MacBookPro5,1",Intel Core 2 Duo T9600,2800 MHz,1,2,2
655,372,iMac (Early 2009),"iMac9,1",Intel Core 2 Duo E8335,2930 MHz,1,2,2
649,373,MacBook Pro (17-inch Mid 2009),"MacBookPro5,2",Intel Core 2 Duo T9600,2800 MHz,1,2,2
639,353,MacBook Pro (17-inch Early 2009),"MacBookPro5,2",Intel Core 2 Duo T9550,2660 MHz,1,2,2
638,364,iMac (Early 2009),"iMac9,1",Intel Core 2 Duo E8135,2660 MHz,1,2,2
623,357,MacBook Pro (15-inch Mid 2009),"MacBookPro5,3",Intel Core 2 Duo T9600,2800 MHz,1,2,2
615,349,iMac (Early 2008),"iMac8,1",Intel Core 2 Duo E8235,2800 MHz,1,2,2
600,349,MacBook Pro (Late 2008),"MacBookPro5,1",Intel Core 2 Duo T9550,2660 MHz,1,2,2
582,335,MacBook Pro (13-inch Early 2010),"MacBookPro7,1",Intel Core 2 Duo P8800,2660 MHz,1,2,2
578,342,MacBook Pro (15-inch Mid 2009),"MacBookPro5,3",Intel Core 2 Duo P8800,2660 MHz,1,2,2
574,312,Mac mini (Early 2009),"Macmini3,1",Intel Core 2 Duo P8400,2260 MHz,1,2,2
566,323,MacBook Pro (13-inch Mid 2009),"MacBookPro5,5",Intel Core 2 Duo P8700,2530 MHz,1,2,2
566,325,Mac mini (Early 2010),"Macmini4,1",Intel Core 2 Duo P8800,2660 MHz,1,2,2
561,324,MacBook Pro (Late 2008),"MacBookPro5,1",Intel Core 2 Duo T9400,2530 MHz,1,2,2
560,307,MacBook Pro (Early 2008),"MacBookPro4,1",Intel Core 2 Duo T9300,2500 MHz,1,2,2
558,321,Mac mini (Late 2009),"Macmini3,1",Intel Core 2 Duo P8700,2530 MHz,1,2,2
557,315,MacBook Pro (15-inch Mid 2009),"MacBookPro5,4",Intel Core 2 Duo P8700,2530 MHz,1,2,2
556,311,iMac (Mid 2009),"iMac9,1",Intel Core 2 Duo P7550,2260 MHz,1,2,2
550,312,Mac mini (Late 2009),"Macmini3,1",Intel Core 2 Duo P7550,2260 MHz,1,2,2
543,313,MacBook Pro (13-inch Mid 2009),"MacBookPro5,5",Intel Core 2 Duo P8400,2260 MHz,1,2,2
542,307,MacBook (Late 2008),"MacBook5,1",Intel Core 2 Duo P8600,2400 MHz,1,2,2
540,308,MacBook (Mid 2010),"MacBook7,1",Intel Core 2 Duo P8600,2400 MHz,1,2,2
536,306,MacBook Pro (Late 2008),"MacBookPro5,1",Intel Core 2 Duo P8600,2400 MHz,1,2,2
534,307,MacBook Pro (13-inch Early 2010),"MacBookPro7,1",Intel Core 2 Duo P8600,2400 MHz,1,2,2
531,323,MacBook Pro (Early 2008),"MacBookPro4,1",Intel Core 2 Duo T9500,2600 MHz,1,2,2
521,297,MacBook Pro (13-inch Mid 2009),"MacBookPro5,5",Intel Core 2 Duo P7550,2260 MHz,1,2,2
517,295,MacBook (Late 2009),"MacBook6,1",Intel Core 2 Duo P7550,2260 MHz,1,2,2
503,294,Mac mini (Early 2010),"Macmini4,1",Intel Core 2 Duo P8600,2400 MHz,1,2,2
490,282,MacBook Air (13-inch Late 2010),"MacBookAir3,2",Intel Core 2 Duo L9600,2130 MHz,1,2,2
477,279,MacBook (Early 2009),"MacBook5,2",Intel Core 2 Duo P7450,2130 MHz,1,2,2
475,263,MacBook Pro (Early 2008),"MacBookPro4,1",Intel Core 2 Duo T8300,2400 MHz,1,2,2
473,266,iMac (Mid 2009),"iMac9,1",Intel Core 2 Duo P7350,2000 MHz,1,2,2
467,266,MacBook (Late 2008),"MacBook5,1",Intel Core 2 Duo P7350,2000 MHz,1,2,2
456,257,MacBook Air (13-inch Late 2010),"MacBookAir3,2",Intel Core 2 Duo L9400,1860 MHz,1,2,2
449,265,Mac mini (Early 2009),"Macmini3,1",Intel Core 2 Duo P7350,2000 MHz,1,2,2
422,239,MacBook (Early 2009),"MacBook5,2",Intel Core 2 Duo P7350,2000 MHz,1,2,2
373,217,MacBook Air (11-inch Late 2010),"MacBookAir3,1",Intel Core 2 Duo U9600,1600 MHz,1,2,2
332,188,MacBook Air (11-inch Late 2010),"MacBookAir3,1",Intel Core 2 Duo U9400,1400 MHz,1,2,2
